pair_id,type,perturbations,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,value_ratio,cpv_match,country_match,label,sbert_similarity
dup_766,synthetic_duplicate,abbreviation,0.92,0.3636363636363636,0.9010740589198036,0.972972972972973,0.3333333333333333,0.9894736842105264,1.0,1,1,1,1.0
non_407,real_non_duplicate,none,0.525,0.25,0.6848493271257499,0.1818181818181817,0.0,0.4225490196078431,0.1012654481737036,1,1,0,1.0
non_1522,real_non_duplicate,none,0.3132530120481928,0.0,0.5706848152500327,0.3768115942028985,0.0,0.5886399004046062,0.5687730811119779,0,0,0,1.0
non_633,real_non_duplicate,none,0.2857142857142857,0.0,0.4682539682539682,0.125,0.0,0.4559386973180077,0.3290951951745525,0,0,0,1.0
dup_51,synthetic_duplicate,"encoding,word_order",0.7766990291262136,0.8,0.7427332889029196,0.6842105263157895,0.2857142857142857,0.9172477972477971,1.0,1,1,1,1.0
non_889,real_non_duplicate,none,0.1702127659574468,0.0,0.4797619047619048,0.2857142857142857,0.0,0.5247863247863248,0.1318999695028972,0,1,0,1.0
non_1174,real_non_duplicate,none,0.3333333333333333,0.0,0.5475821907710453,0.6341463414634146,0.3333333333333333,0.7640476190476191,0.0831201968318593,0,1,0,1.0
dup_746,synthetic_duplicate,"encoding,word_drop",1.0,1.0,1.0,0.5633802816901409,0.0,0.6607921318447634,1.0,1,1,1,1.0
dup_1875,synthetic_duplicate,"word_drop,case",1.0,1.0,1.0,0.7619047619047619,0.6666666666666666,0.7467948717948718,1.0,1,1,1,1.0
non_639,real_non_duplicate,none,0.1504424778761062,0.0,0.4192948717948718,0.2727272727272727,0.0,0.5640211640211641,0.0013954844136126,0,0,0,1.0
non_1060,real_non_duplicate,none,0.3709677419354839,0.0,0.6360402050057222,0.7027027027027026,0.3333333333333333,0.8021442495126706,0.6935650020229644,1,1,0,1.0
dup_1765,synthetic_duplicate,abbreviation,0.8571428571428572,0.1428571428571428,0.9214141414141416,0.7058823529411764,0.1428571428571428,0.8947908232118758,1.0,1,1,1,1.0
dup_1166,synthetic_duplicate,encoding,0.9761904761904762,0.5714285714285714,0.9035230352303524,0.8990825688073394,0.25,0.8902755445612589,1.0,1,1,1,1.0
non_1642,real_non_duplicate,none,0.3469387755102041,0.0,0.5520017993702204,0.3703703703703703,0.0,0.6086834733893558,0.0006989825042303,0,0,0,1.0
non_1962,real_non_duplicate,none,0.1818181818181817,0.0,0.5307053245649737,0.21875,0.0,0.4928774928774929,4.580908479138627e-05,0,0,0,1.0
dup_1824,synthetic_duplicate,"case,encoding",0.949685534591195,0.4,0.9308675913199216,0.8823529411764706,0.375,0.8965998256320836,1.0,1,1,1,1.0
dup_1543,synthetic_duplicate,"case,word_order",1.0,1.0,1.0,0.736842105263158,1.0,0.8317853457172343,1.0,1,1,1,1.0
dup_1984,synthetic_duplicate,word_drop,0.8888888888888888,0.3076923076923077,0.9180370885800035,0.6666666666666667,0.2857142857142857,0.7182539682539683,1.0,1,1,1,1.0
non_284,real_non_duplicate,none,0.2531645569620253,0.0,0.4716859716859716,0.2127659574468084,0.0,0.3966165413533835,0.6593595808865412,0,1,0,1.0
non_1454,real_non_duplicate,none,0.8181818181818181,0.6666666666666666,0.940906614361992,0.2432432432432432,0.0,0.4835249042145594,0.5158355458169342,0,1,0,1.0
dup_517,synthetic_duplicate,"abbreviation,word_order",1.0,1.0,1.0,0.8085106382978724,0.4285714285714285,0.9290372670807454,1.0,1,1,1,1.0
non_314,real_non_duplicate,none,0.2352941176470588,0.0,0.4511904761904762,0.1218274111675127,0.0,0.5178266178266179,0.1049708282989517,0,1,0,1.0
